prec_no,block_no,name,kind,pref_name,total_hot_days,mean_hot_days,max_hot_days,years_with_data,coverage,name_norm,amedas_code,kjName,knName,lat,lon,alt
66,0929,下呰部,a,岡山県,0.0,,,0,0.0,下呰部,66226,下呰部,シモアザエ,34.965,133.62833333333333,180
88,1161,佐多,a,鹿児島県,0.0,,,0,0.0,佐多,88551,佐多,サタ,31.093333333333334,130.69,27
88,1149,大隅,a,鹿児島県,0.0,,,0,0.0,大隅,88341,大隅,オオスミ,31.58,131.005,170
88,0934,出水,a,鹿児島県,0.0,,,0,0.0,出水,88066,出水,イズミ,32.093333333333334,130.35166666666666,11
66,1328,上長田,a,岡山県,0.0,0.0,0.0,10,1.0,上長田,66046,上長田,カミナガタ,35.29666666666667,133.725,430
86,1435,山江,a,熊本県,0.0,,,0,0.0,山江,86407,山江,ヤマエ,32.30166666666667,130.74666666666667,218
85,1667,大町,a,佐賀県,0.0,,,0,0.0,大町,48191,大町,オオマチ,36.52333333333333,137.83166666666668,784
86,1240,阿蘇乙姫,a,熊本県,0.0,0.0,0.0,10,1.0,阿蘇乙姫,86111,阿蘇乙姫,アソオトヒメ,32.946666666666665,131.04,487
67,1579,都志見,a,広島県,0.0,,,0,0.0,都志見,67217,都志見,ツシミ,34.64666666666667,132.44333333333333,400
73,0742,獅子越峠,a,愛媛県,0.0,,,0,0.0,獅子越峠,73321,獅子越峠,シシゴエトウゲ,33.54333333333334,132.83166666666668,1000
73,0743,八幡浜,a,愛媛県,0.0,,,0,0.0,八幡浜,73351,八幡浜,ヤワタハマ,33.44833333333333,132.43333333333334,8
73,1260,富郷,a,愛媛県,0.0,,,0,0.0,富郷,73152,富郷,トミサト,33.915,133.51,310
73,1456,瀬戸,a,愛媛県,0.0,0.0,0.0,10,1.0,瀬戸,73341,瀬戸,セト,33.446666666666665,132.25666666666666,143
67,1603,安宿,a,広島県,0.0,,,0,0.0,安宿,67306,安宿,アスカ,34.56666666666667,132.83833333333334,363
67,1583,美土里,a,広島県,0.0,,,0,0.0,美土里,67161,美土里,ミドリ,34.721666666666664,132.655,318
67,1582,君田,a,広島県,0.0,,,0,0.0,君田,67052,君田,キミタ,34.928333333333335,132.83,304
67,1575,佐伯湯来,a,広島県,0.0,,,0,0.0,佐伯湯来,67351,佐伯湯来,サエキユキ,34.498333333333335,132.29,206
73,0738,成就社,a,愛媛県,0.0,,,0,0.0,成就社,73247,成就社,ジョウジュシャ,33.795,133.13166666666666,1280
74,0747,繁藤,a,高知県,0.0,,,0,0.0,繁藤,74126,繁藤,シゲトウ,33.678333333333335,133.685,346
74,0748,佐川,a,高知県,0.0,,,0,0.0,佐川,74166,佐川,サカワ,33.51166666666666,133.27166666666668,80
74,0753,鳥形山,a,高知県,0.0,,,0,0.0,鳥形山,74238,鳥形山,トリガタヤマ,33.48,133.08333333333334,835
74,0754,船戸,a,高知県,0.0,,,0,0.0,船戸,74237,船戸,フナト,33.416666666666664,133.08833333333334,425
74,0757,佐喜浜,a,高知県,0.0,,,0,0.0,佐喜浜,74336,佐喜浜,サキハマ,33.41166666666667,134.19833333333332,26
74,0761,大正,a,高知県,0.0,,,0,0.0,大正,74391,大正,タイショウ,33.193333333333335,132.97166666666666,150
74,0955,田野,a,高知県,0.0,,,0,0.0,田野,74276,田野,タノ,33.42666666666667,134.00666666666666,17
73,0740,中山,a,愛媛県,0.0,,,0,0.0,中山,73271,中山,ナカヤマ,33.638333333333335,132.70833333333334,163
73,0737,上林,a,愛媛県,0.0,,,0,0.0,上林,73231,上林,カミハヤシ,33.73833333333333,132.89,460
86,1086,湯前横谷,a,熊本県,0.0,,,0,0.0,湯前横谷,86481,湯前横谷,ユノマエヨコタニ,32.263333333333335,131.04333333333332,665
