prec_no,block_no,name,kind,pref_name,year,hot_days,flag
12,1190,上富良野,a,上川地方,2016,0.0,
12,1190,上富良野,a,上川地方,2017,0.0,
12,1190,上富良野,a,上川地方,2018,2.0,
12,1190,上富良野,a,上川地方,2019,2.0,
12,1190,上富良野,a,上川地方,2020,1.0,
12,1190,上富良野,a,上川地方,2021,8.0,
12,1190,上富良野,a,上川地方,2022,0.0,
12,1190,上富良野,a,上川地方,2023,3.0,
12,1190,上富良野,a,上川地方,2024,1.0,
12,1190,上富良野,a,上川地方,2025,2.0,
12,1191,江丹別,a,上川地方,2016,0.0,
12,1191,江丹別,a,上川地方,2017,0.0,
12,1191,江丹別,a,上川地方,2018,0.0,
12,1191,江丹別,a,上川地方,2019,0.0,
12,1191,江丹別,a,上川地方,2020,0.0,
12,1191,江丹別,a,上川地方,2021,9.0,
12,1191,江丹別,a,上川地方,2022,0.0,
12,1191,江丹別,a,上川地方,2023,0.0,
12,1191,江丹別,a,上川地方,2024,0.0,
12,1191,江丹別,a,上川地方,2025,0.0,
12,1197,音威子府,a,上川地方,2016,0.0,
12,1197,音威子府,a,上川地方,2017,0.0,
12,1197,音威子府,a,上川地方,2018,0.0,
12,1197,音威子府,a,上川地方,2019,0.0,
12,1197,音威子府,a,上川地方,2020,0.0,]
12,1197,音威子府,a,上川地方,2021,3.0,
12,1197,音威子府,a,上川地方,2022,0.0,
12,1197,音威子府,a,上川地方,2023,0.0,
12,1197,音威子府,a,上川地方,2024,0.0,
12,1197,音威子府,a,上川地方,2025,0.0,
12,1201,中川,a,上川地方,2016,0.0,
12,1201,中川,a,上川地方,2017,0.0,
12,1201,中川,a,上川地方,2018,0.0,
12,1201,中川,a,上川地方,2019,0.0,
12,1201,中川,a,上川地方,2020,0.0,
12,1201,中川,a,上川地方,2021,2.0,
12,1201,中川,a,上川地方,2022,0.0,
12,1201,中川,a,上川地方,2023,0.0,
12,1201,中川,a,上川地方,2024,0.0,
12,1201,中川,a,上川地方,2025,0.0,
12,1279,朱鞠内,a,上川地方,2016,0.0,
12,1279,朱鞠内,a,上川地方,2017,0.0,
12,1279,朱鞠内,a,上川地方,2018,0.0,
12,1279,朱鞠内,a,上川地方,2019,0.0,
12,1279,朱鞠内,a,上川地方,2020,0.0,
12,1279,朱鞠内,a,上川地方,2021,0.0,
12,1279,朱鞠内,a,上川地方,2022,0.0,
12,1279,朱鞠内,a,上川地方,2023,0.0,
12,1279,朱鞠内,a,上川地方,2024,0.0,
12,1279,朱鞠内,a,上川地方,2025,0.0,
12,1280,麓郷,a,上川地方,2016,0.0,
12,1280,麓郷,a,上川地方,2017,0.0,
12,1280,麓郷,a,上川地方,2018,0.0,
12,1280,麓郷,a,上川地方,2019,0.0,
12,1280,麓郷,a,上川地方,2020,1.0,
12,1280,麓郷,a,上川地方,2021,3.0,
12,1280,麓郷,a,上川地方,2022,0.0,
12,1280,麓郷,a,上川地方,2023,1.0,
12,1280,麓郷,a,上川地方,2024,0.0,
12,1280,麓郷,a,上川地方,2025,0.0,
12,1458,東神楽,a,上川地方,2016,0.0,
12,1458,東神楽,a,上川地方,2017,0.0,
12,1458,東神楽,a,上川地方,2018,0.0,
12,1458,東神楽,a,上川地方,2019,0.0,
12,1458,東神楽,a,上川地方,2020,0.0,
12,1458,東神楽,a,上川地方,2021,3.0,
12,1458,東神楽,a,上川地方,2022,0.0,
12,1458,東神楽,a,上川地方,2023,0.0,
12,1458,東神楽,a,上川地方,2024,0.0,
12,1458,東神楽,a,上川地方,2025,0.0,
12,1570,小車,a,上川地方,2016,,///
12,1570,小車,a,上川地方,2017,,///
12,1570,小車,a,上川地方,2018,,///
12,1570,小車,a,上川地方,2019,,///
12,1570,小車,a,上川地方,2020,,///
12,1570,小車,a,上川地方,2021,,///
12,1570,小車,a,上川地方,2022,,///
12,1570,小車,a,上川地方,2023,,///
12,1570,小車,a,上川地方,2024,,///
12,1570,小車,a,上川地方,2025,,///
12,1572,剣淵,a,上川地方,2016,,///
12,1572,剣淵,a,上川地方,2017,,///
12,1572,剣淵,a,上川地方,2018,,///
12,1572,剣淵,a,上川地方,2019,,///
12,1572,剣淵,a,上川地方,2020,,///
12,1572,剣淵,a,上川地方,2021,,///
12,1572,剣淵,a,上川地方,2022,,///
12,1572,剣淵,a,上川地方,2023,,///
12,1572,剣淵,a,上川地方,2024,,///
12,1572,剣淵,a,上川地方,2025,,///
12,1574,金山,a,上川地方,2016,,///
12,1574,金山,a,上川地方,2017,,///
12,1574,金山,a,上川地方,2018,,///
12,1574,金山,a,上川地方,2019,,///
12,1574,金山,a,上川地方,2020,,///
12,1574,金山,a,上川地方,2021,,///
12,1574,金山,a,上川地方,2022,,///
12,1574,金山,a,上川地方,2023,,///
12,1574,金山,a,上川地方,2024,,///
12,1574,金山,a,上川地方,2025,,///
12,47407,旭川,s,上川地方,2016,0.0,
12,47407,旭川,s,上川地方,2017,0.0,
12,47407,旭川,s,上川地方,2018,0.0,
12,47407,旭川,s,上川地方,2019,0.0,
12,47407,旭川,s,上川地方,2020,0.0,
12,47407,旭川,s,上川地方,2021,10.0,
12,47407,旭川,s,上川地方,2022,0.0,
12,47407,旭川,s,上川地方,2023,2.0,
12,47407,旭川,s,上川地方,2024,2.0,
12,47407,旭川,s,上川地方,2025,1.0,
13,0024,天塩,a,留萌地方,2016,0.0,
13,0024,天塩,a,留萌地方,2017,0.0,
13,0024,天塩,a,留萌地方,2018,0.0,
13,0024,天塩,a,留萌地方,2019,0.0,
13,0024,天塩,a,留萌地方,2020,0.0,
13,0024,天塩,a,留萌地方,2021,0.0,
13,0024,天塩,a,留萌地方,2022,0.0,
13,0024,天塩,a,留萌地方,2023,0.0,
13,0024,天塩,a,留萌地方,2024,0.0,
13,0024,天塩,a,留萌地方,2025,0.0,
13,0025,遠別,a,留萌地方,2016,0.0,
13,0025,遠別,a,留萌地方,2017,0.0,
13,0025,遠別,a,留萌地方,2018,0.0,
13,0025,遠別,a,留萌地方,2019,0.0,
13,0025,遠別,a,留萌地方,2020,0.0,
13,0025,遠別,a,留萌地方,2021,0.0,
13,0025,遠別,a,留萌地方,2022,0.0,
13,0025,遠別,a,留萌地方,2023,0.0,
13,0025,遠別,a,留萌地方,2024,0.0,
13,0025,遠別,a,留萌地方,2025,0.0,
13,0028,増毛,a,留萌地方,2016,0.0,
13,0028,増毛,a,留萌地方,2017,0.0,
13,0028,増毛,a,留萌地方,2018,0.0,
13,0028,増毛,a,留萌地方,2019,0.0,
13,0028,増毛,a,留萌地方,2020,0.0,
13,0028,増毛,a,留萌地方,2021,0.0,
13,0028,増毛,a,留萌地方,2022,0.0,
13,0028,増毛,a,留萌地方,2023,0.0,
13,0028,増毛,a,留萌地方,2024,0.0,]
13,0028,増毛,a,留萌地方,2025,0.0,
13,1112,古丹別,a,留萌地方,2016,,///
13,1112,古丹別,a,留萌地方,2017,,///
13,1112,古丹別,a,留萌地方,2018,,///
13,1112,古丹別,a,留萌地方,2019,,///
13,1112,古丹別,a,留萌地方,2020,,///
13,1112,古丹別,a,留萌地方,2021,,///
13,1112,古丹別,a,留萌地方,2022,,///
13,1112,古丹別,a,留萌地方,2023,,///
13,1112,古丹別,a,留萌地方,2024,,///
13,1112,古丹別,a,留萌地方,2025,,///
13,1213,焼尻,a,留萌地方,2016,0.0,
13,1213,焼尻,a,留萌地方,2017,0.0,
13,1213,焼尻,a,留萌地方,2018,0.0,
13,1213,焼尻,a,留萌地方,2019,0.0,]
13,1213,焼尻,a,留萌地方,2020,0.0,
13,1213,焼尻,a,留萌地方,2021,0.0,
13,1213,焼尻,a,留萌地方,2022,0.0,
13,1213,焼尻,a,留萌地方,2023,0.0,
13,1213,焼尻,a,留萌地方,2024,0.0,
13,1213,焼尻,a,留萌地方,2025,0.0,
13,1216,初山別,a,留萌地方,2016,0.0,
13,1216,初山別,a,留萌地方,2017,0.0,
13,1216,初山別,a,留萌地方,2018,0.0,
13,1216,初山別,a,留萌地方,2019,0.0,
13,1216,初山別,a,留萌地方,2020,0.0,
13,1216,初山別,a,留萌地方,2021,0.0,
13,1216,初山別,a,留萌地方,2022,0.0,
13,1216,初山別,a,留萌地方,2023,0.0,
13,1216,初山別,a,留萌地方,2024,0.0,
13,1216,初山別,a,留萌地方,2025,0.0,
13,1217,達布,a,留萌地方,2016,0.0,
13,1217,達布,a,留萌地方,2017,0.0,
13,1217,達布,a,留萌地方,2018,1.0,
13,1217,達布,a,留萌地方,2019,0.0,
13,1217,達布,a,留萌地方,2020,0.0,
13,1217,達布,a,留萌地方,2021,10.0,
13,1217,達布,a,留萌地方,2022,0.0,
13,1217,達布,a,留萌地方,2023,1.0,
13,1217,達布,a,留萌地方,2024,2.0,
13,1217,達布,a,留萌地方,2025,0.0,
13,1218,幌糠,a,留萌地方,2016,0.0,
13,1218,幌糠,a,留萌地方,2017,0.0,
13,1218,幌糠,a,留萌地方,2018,0.0,
13,1218,幌糠,a,留萌地方,2019,0.0,
13,1218,幌糠,a,留萌地方,2020,0.0,
13,1218,幌糠,a,留萌地方,2021,3.0,
13,1218,幌糠,a,留萌地方,2022,0.0,
13,1218,幌糠,a,留萌地方,2023,0.0,
13,1218,幌糠,a,留萌地方,2024,0.0,
13,1218,幌糠,a,留萌地方,2025,0.0,
13,47404,羽幌,s,留萌地方,2016,0.0,
13,47404,羽幌,s,留萌地方,2017,0.0,
13,47404,羽幌,s,留萌地方,2018,0.0,
13,47404,羽幌,s,留萌地方,2019,0.0,
13,47404,羽幌,s,留萌地方,2020,0.0,
13,47404,羽幌,s,留萌地方,2021,0.0,
13,47404,羽幌,s,留萌地方,2022,0.0,
13,47404,羽幌,s,留萌地方,2023,0.0,
13,47404,羽幌,s,留萌地方,2024,0.0,
13,47404,羽幌,s,留萌地方,2025,0.0,
13,47406,留萌,s,留萌地方,2016,0.0,
13,47406,留萌,s,留萌地方,2017,0.0,
13,47406,留萌,s,留萌地方,2018,0.0,
13,47406,留萌,s,留萌地方,2019,0.0,
13,47406,留萌,s,留萌地方,2020,0.0,
13,47406,留萌,s,留萌地方,2021,1.0,
13,47406,留萌,s,留萌地方,2022,0.0,
13,47406,留萌,s,留萌地方,2023,0.0,
13,47406,留萌,s,留萌地方,2024,0.0,
13,47406,留萌,s,留萌地方,2025,0.0,
14,0030,新篠津,a,石狩地方,2016,0.0,
14,0030,新篠津,a,石狩地方,2017,0.0,
14,0030,新篠津,a,石狩地方,2018,0.0,
14,0030,新篠津,a,石狩地方,2019,0.0,
14,0030,新篠津,a,石狩地方,2020,0.0,
14,0030,新篠津,a,石狩地方,2021,2.0,
14,0030,新篠津,a,石狩地方,2022,0.0,
14,0030,新篠津,a,石狩地方,2023,2.0,
14,0030,新篠津,a,石狩地方,2024,0.0,
14,0030,新篠津,a,石狩地方,2025,2.0,
14,0031,山口,a,石狩地方,2016,0.0,
14,0031,山口,a,石狩地方,2017,0.0,
14,0031,山口,a,石狩地方,2018,0.0,
14,0031,山口,a,石狩地方,2019,0.0,
14,0031,山口,a,石狩地方,2020,0.0,
14,0031,山口,a,石狩地方,2021,2.0,
14,0031,山口,a,石狩地方,2022,0.0,
14,0031,山口,a,石狩地方,2023,3.0,
14,0031,山口,a,石狩地方,2024,0.0,
14,0031,山口,a,石狩地方,2025,3.0,
